poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
187,0.00400000000000000000,720,720,FOOT,20088242,73810
253,0.00293255131964809384,3040,3000,BIKE,10064987,42880
163,0.00283286118980169972,2400,2400,TRAM,20197800,106400
41,0.00276243093922651934,2070,2100,TRAM,20055398,41150
208,0.00398406374501992032,4090,4100,BIKE,20273599,79500
152,0.00961538461538461538,3200,3200,BIKE,10009457,40130
230,0.00352112676056338028,27720,27700,TRAIN,20235122,37480
208,0.00310559006211180124,1140,1100,FOOT,10007907,85200
59,0.01449275362318840580,770,770,FOOT,20208106,51800
178,0.01449275362318840580,770,770,FOOT,20208106,51800
163,0.00352112676056338028,2390,2400,FOOT,20274164,136890
88,0.00275482093663911846,1130,1100,FOOT,10030978,67280
214,0.00980392156862745098,4370,4400,CAR,20010242,114160
31,0.00781250000000000000,820,820,FOOT,20241929,82020
31,0.00781250000000000000,820,820,FOOT,20241929,82020
66,0.00781250000000000000,820,820,FOOT,20241929,82020
41,0.00276243093922651934,1830,1800,CAR,20055398,41900
136,0.00531914893617021277,18670,18700,CAR,20234736,124790
152,0.00534759358288770053,2330,2300,BIKE,20228733,27600
128,0.00609756097560975610,980,980,FOOT,10046241,108260
265,0.00295857988165680473,380,380,BIKE,20266651,239040
230,0.00292397660818713450,1080,1100,BIKE,20268509,107600
230,0.00704225352112676056,350,350,FOOT,20277226,131640
230,0.00384615384615384615,104590,104600,TRAIN,10017422,234740
31,0.00518134715025906736,12790,12800,BUS,10057329,113510
31,0.00518134715025906736,380,380,FOOT,10057329,113510
31,0.00518134715025906736,380,380,FOOT,10057329,113510
230,0.01162790697674418605,270,270,FOOT,20264864,58570
129,0.00300300300300300300,1210,1200,FOOT,10071652,11800
1,0.04166666666666666667,1760,1800,BIKE,10079430,35500
41,0.00308641975308641975,450,450,FOOT,10004515,77850
128,0.00628930817610062893,770,770,BUS,20012559,11620
18,0.00714285714285714286,950,950,FOOT,20189281,119850
152,0.00384615384615384615,3150,3200,TRAM,10017422,101090
178,0.00280112044817927171,900,900,FOOT,20016886,24620
230,0.00348432055749128920,27650,27600,TRAIN,20275438,31300
230,0.01162790697674418605,3300,3300,BIKE,10049709,60800
246,0.00769230769230769231,950,950,BIKE,20287520,48850
